cnpj;denominacao;gestor;ticker;classificacao_sugerida;sinais_mistos;classificacao_final;observacoes
62579973000184;BTG PACTUAL TEVA AUVP RENDA AUTOMÁTICA ITBR IPCA RENDIMENTO FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;AREA11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
45064129000100;BTG PACTUAL TEVA DEBÊNTURES DI FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;DEBB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62320381000143;BTG PACTUAL TEVA ITBR IPCA 95-5 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;SFIX11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62999367000118;BTG PACTUAL TEVA ITBR IPCA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;WEJR11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64690760000150;BTG PACTUAL TEVA ITBR TESOURO IPCA 2035 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;MIDB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62087419000180;BTG PACTUAL TEVA LETRAS FINANCEIRAS DI QUALIDADE FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;LFIN11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
44702829000101;BTG PACTUAL TEVA TESOURO IPCA ULTRA LONGO CE FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;PACB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
61088467000120;BTG PACTUAL TEVA TESOURO SELIC FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;LLFT11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
65819277000196;CLASSE ÚNICA GRÃO TEVA ITBR TESOURO IPCA 2 ANOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;GRÃO GESTÃO DE RECURSOS LTDA.;GPCA11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
34081054000140;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IMA-B - RESP LIMITADA;BANCO BRADESCO S.A.;IMBB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
34081072000122;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IMA-B5+ - RESP LIMITAD;BANCO BRADESCO S.A.;B5MB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
66171634000115;GALAPAGOS TEVA ITBR TESOURO PRÉ FIXADO 3 ANOS FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;3PRE11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
65180394000152;GALAPAGOS TEVA TESOURO SELIC & IPCA+ FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;POSB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62794396000143;GALAPAGOS TEVA TESOURO SELIC FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;GLFT11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
61736225000103;GENIAL TEVA DEBÊNTURES DI QUALITY HIGH BETA  FUNDO DE ÍNDICE;PLURAL GESTÃO DE RECURSOS LTDA;GICP11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
56176507000155;INVESTO ETF MARKETVECTOR BRAZIL TREASURY 760 DAY TARGET DURATION CLASSE DE ÍNDICE - RESP LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;LFTB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
50642881000112;INVESTO TEVA TESOURO IPCA+ 0 A 4 ANOS ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;NTNS11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
45823821000166;INVESTO TEVA TESOURO SELIC ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;LFTS11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64731230000103;INVESTO V8 LETRA FINANCEIRA S1 DI B3 FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;LFIX11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64731230000103;INVESTO V8 LETRA FINANCEIRA S1 DI B3 FUNDO DE ÍNDICE;V8 CAPITAL GESTÃO DE INVESTIMENTOS LTDA.;LFIX11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
31024153000100;IT NOW ID ETF IMA-B FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IMAB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
38354864000184;IT NOW IMA-B5 P2 FUNDO DE INDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;B5P211;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
32880663000134;IT NOW IMA-B5+ FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IB5M11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
32880642000119;IT NOW IRF-M P2 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IRFM11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
57055305000118;IT NOW IRFM P3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IDKA11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64758770000180;IT NOW NTN-B 2035 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;;;
64758102000153;IT NOW NTN-B 2050 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;;;
64759097000101;IT NOW NTN-B 2060 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;;;
62013226000184;IT NOW S&P TESOURO AMERICANO 10 ANOS BRL FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;T10R0;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64538158000100;IT NOW TEVA ITBR PRÉ 5 ANOS FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;5PRE11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
66198405000194;IT NOW TEVA ITBR SELIC IPCA TARGET 800 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;CDIB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
63702230000112;IT NOW TEVA TESOURO SELIC FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;LFTI11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
63001985000190;NU CDI TESOURO SELIC B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;NCDI11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62344693000197;NU IBOXX HIGH YIELD HEDGE CARRY BRL CLASSE  DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;HYBR11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62344793000113;NU IBOXX INVESTMENT GRADE HEDGE CARRY BRL  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;HGBR11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
63734820000127;NU LETRAS FINANCEIRAS ANBIMA CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;NLFA11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
67656259000166;NU TESOURO IPCA B3 PRAZO 2 ANOS CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;NB0211;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
67656167000186;NU TESOURO IPCA B3 PRAZO 5 ANOS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;NB0511;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
58312917000101;PHRONESIS TEVA IPCA DYNAMIC SELECTION YIELD FUNDO DE ÍNDICE;PHRONESIS INVESTIMENTOS LTDA.;PHIP11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
65573794000128;TREND ETF B3 TESOURO SELIC CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;LFTX11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64802589000124;TREND ETF IDEX B30 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;XB3011;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
63698833000198;TREND ETF IDEX B35 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;XB3511;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64802257000140;TREND ETF IDEX B45 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;XB4511;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
63698764000112;TREND ETF IDEX B50 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;XB5011;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
64815662000100;TREND ETF IDEX B60 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;XB6011;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
65594290000194;TREND ETF IRF-M P2 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;PREX11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
65573738000193;TREND ETF TEVA ITBR SELIC TARGET 760 CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;LTBX11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
